iter	RMSE
0	0.8136869045
1	0.7900619853
2	0.7671193573
3	0.7447928521
4	0.7236217004
5	0.7046238986
6	0.6859815336
7	0.6678184978
8	0.6497105855
9	0.6330584111
10	0.6175883084
11	0.6023415646
12	0.5885064111
13	0.5735753967
14	0.5601526074
15	0.5478605552
16	0.5352265065
17	0.5219439772
18	0.5097832233
19	0.4995178459
20	0.489955552
21	0.479255082
22	0.4688190345
23	0.4591149193
24	0.4496054124
25	0.4414782521
26	0.4333131835
27	0.4251898284
28	0.4169990146
29	0.4097221739
30	0.4029827147
31	0.3968864674
32	0.3882907557
33	0.3820775192
34	0.3754932882
35	0.369619639
36	0.3636485549
37	0.3574878665
38	0.3523303891
39	0.34734146
40	0.3431068594
41	0.3380837074
42	0.3329622955
43	0.3282210838
44	0.3237247286
45	0.3185963158
46	0.3138091355
47	0.3084860477
48	0.3045918285
49	0.3008209642
50	0.2974638354
51	0.2926931368
52	0.2897038118
53	0.2866236722
54	0.2827872542
55	0.2801434415
56	0.2770680261
57	0.2731923805
58	0.2710845698
59	0.2682082323
60	0.2654863806
61	0.2624996994
62	0.2585846189
63	0.2555126094
64	0.2525715615
65	0.249328305
66	0.2470531511
67	0.2440374701
68	0.2416402524
69	0.2393145366
70	0.2366138522
71	0.2344067525
72	0.231645268
73	0.230019836
74	0.2273459624
75	0.2262304527
76	0.2241126442
77	0.2221068274
78	0.2202795943
79	0.2182266888
80	0.2172698829
81	0.2145652132
82	0.2131604838
83	0.2107034104
84	0.209416362
85	0.2083455158
86	0.2064935901
87	0.2046193682
88	0.2024509578
89	0.2004580382
90	0.1983905768
91	0.1971329551
92	0.1957890014
93	0.1948763899
94	0.1927028719
95	0.1909696746
96	0.189000046
97	0.1870226855
98	0.1853267992
99	0.1832163033
100	0.1809522526
101	0.1798443737
102	0.1783041644
103	0.1771190297
104	0.1753925343
105	0.1741109494
106	0.1730799449
107	0.1723732883
108	0.1709285218
109	0.169593936
110	0.1690285058
111	0.1680669272
112	0.1670175502
113	0.1654763746
114	0.1640525968
115	0.1631430021
116	0.1624047344
117	0.161064091
118	0.1595282554
119	0.1582585001
120	0.1577188536
121	0.1562644186
122	0.1549165118
123	0.1545361938
124	0.1530810179
125	0.1519743984
126	0.1509676076
127	0.1502930436
128	0.1497497521
129	0.1481467845
130	0.1469332068
131	0.1458464741
132	0.1451794672
133	0.1440476519
134	0.1436231854
135	0.1425227663
136	0.1419102557
137	0.1404864133
138	0.1396202405
139	0.1387092848
140	0.1375804743
141	0.1369150479
142	0.1356894695
143	0.1348761245
144	0.133922524
145	0.1326253008
146	0.1319726008
147	0.1313834062
148	0.130572487
149	0.1298078054
150	0.1288958786
151	0.1282735959
152	0.1274645479
153	0.1260883034
154	0.1257407454
155	0.1246850886
156	0.1237896662
157	0.1229364632
158	0.1223142447
159	0.1218541738
160	0.1210049587
161	0.120103849
162	0.1191283684
163	0.1184456833
164	0.1177405103
165	0.1169061772
166	0.1162219146
167	0.1157433275
168	0.1148777709
169	0.1141894428
170	0.1138005953
171	0.1135164424
172	0.1130132936
173	0.1123942555
174	0.1119456056
175	0.1112494644
176	0.1106893889
177	0.1101303386
178	0.1094144878
179	0.1084576178
180	0.10765682
181	0.1068987078
182	0.1062720937
183	0.1058018139
184	0.1050004684
185	0.1045909837
186	0.104216781
187	0.1037432255
188	0.1029583285
189	0.1023660222
190	0.1017345694
191	0.1010889716
192	0.1005339236
193	0.09972814598
194	0.09930909148
195	0.09863593391
196	0.09804768231
197	0.0975752558
198	0.09698124039
199	0.09650549623
200	0.09618263459
201	0.09587190232
202	0.09543327121
203	0.09493823613
204	0.09435089501
205	0.09372268486
206	0.09343218238
207	0.09288856493
208	0.09259283423
209	0.09213568065
210	0.09159251569
211	0.09113854562
212	0.09062581872
213	0.0902027891
214	0.08958939063
215	0.08902772781
216	0.08844384669
217	0.08794278795
218	0.0873875972
219	0.08694204411
220	0.08655630846
221	0.08621231161
222	0.08574091539
223	0.08527138301
224	0.08474101441
225	0.08433760124
226	0.08399629948
227	0.08354663499
228	0.0830951016
229	0.08276736929
230	0.08241528089
231	0.08217026357
232	0.08176813183
233	0.0814203485
234	0.08112624333
235	0.08074902997
236	0.08038487135
237	0.0799516179
238	0.0795447041
239	0.07924916163
240	0.07883896893
241	0.07849714294
242	0.07815555164
243	0.0778512299
244	0.07750302352
245	0.07723313841
246	0.07677832165
247	0.07647629608
248	0.07621533669
249	0.07577804999
250	0.07543190624
251	0.07520295856
252	0.07484200506
253	0.07453659481
254	0.07423179081
255	0.07394727869
256	0.07360042209
257	0.07341112974
258	0.07303628394
259	0.0727806166
260	0.07249078251
261	0.07223047008
262	0.07201087544
263	0.07165591908
264	0.07148071976
265	0.07128227282
266	0.07099033362
267	0.07086663296
268	0.07073695434
269	0.07055495716
270	0.07043117765
271	0.07005169926
272	0.06979995359
273	0.06946544956
274	0.06934641566
275	0.06918222749
276	0.06900295812
277	0.06889994156
278	0.06864685512
279	0.06843678939
280	0.06816399903
281	0.06788283036
282	0.06766138706
283	0.06732781496
284	0.06709212306
285	0.06691354239
286	0.06676962315
287	0.06655332671
288	0.06619365502
289	0.06597123186
290	0.06580740713
291	0.06571462254
292	0.06553988031
293	0.06537701176
294	0.06523307042
295	0.06501998796
296	0.06485594723
297	0.06466346739
298	0.06448667199
299	0.06423991621
300	0.06409857843
301	0.06390487645
302	0.06381958479
303	0.06352593939
304	0.06333392757
305	0.06315686146
306	0.06300834484
307	0.06273025927
308	0.06254241631
309	0.06229503883
310	0.06201008972
311	0.06188198177
312	0.06163892379
313	0.0614725344
314	0.06123795843
315	0.06106419212
316	0.06087588245
317	0.0606557844
318	0.06043978567
319	0.06026060644
320	0.0600748079
321	0.05979962616
322	0.05957612841
323	0.05942912706
324	0.05921180542
325	0.05899090936
326	0.05879020063
327	0.05865556729
328	0.05857657403
329	0.05845388899
330	0.0583037665
331	0.05816722781
332	0.05805886008
333	0.05788474173
334	0.05769425399
335	0.05743371342
336	0.05725875432
337	0.05711580022
338	0.05695390427
339	0.05685368155
340	0.05663271645
341	0.0564124686
342	0.05631008399
343	0.05616549321
344	0.05594324465
345	0.0557501932
346	0.05560838531
347	0.05553484799
348	0.05533246896
349	0.05526090532
350	0.05511820182
351	0.0549628928
352	0.05482434549
353	0.05460825713
354	0.05453239275
355	0.05446358404
356	0.05425820997
357	0.05407777253
358	0.0539148123
359	0.05384826405
360	0.05363980056
361	0.05349757436
362	0.05336990927
363	0.05322944456
364	0.05300709503
365	0.05294324583
366	0.05280588934
367	0.05274160932
368	0.05256611999
369	0.05250429121
370	0.05234151163
371	0.05213922373
372	0.05207716377
373	0.05193575251
374	0.05181067188
375	0.05175355371
376	0.05164698513
377	0.05148970362
378	0.05134521592
379	0.05120271182
380	0.05113097992
381	0.05099676222
382	0.05091830218
383	0.05086863781
384	0.0507152728
385	0.05065088255
386	0.05055041879
387	0.05042297648
388	0.05036982221
389	0.05031038806
390	0.05021627516
391	0.0500739253
392	0.04994286475
393	0.04977159615
394	0.049667701
395	0.04954838016
396	0.0494220188
397	0.04936945147
398	0.04927243429
399	0.04916513333
400	0.04900918262
401	0.04884514384
402	0.04874049199
403	0.04862196541
404	0.04850666768
405	0.04842069335
406	0.04833092239
407	0.04821475208
408	0.04816900761
409	0.04805028689
410	0.04799584357
411	0.04789814507
412	0.04779473188
413	0.04768321221
414	0.04757753789
415	0.04748073436
416	0.0473899842
417	0.04729411326
418	0.04720680673
419	0.04705699139
420	0.04696290896
421	0.0468525241
422	0.04678169785
423	0.04662124662
424	0.04648781438
425	0.04639034131
426	0.04630602104
427	0.04621796122
428	0.0461190115
429	0.04600158126
430	0.045952062
431	0.04586063923
432	0.04575431722
433	0.04564932888
434	0.04558090773
435	0.04550920715
436	0.04542810428
437	0.04538516676
438	0.04534444421
439	0.04517885528
440	0.04511854404
441	0.04504228104
442	0.04495200542
443	0.04486758033
444	0.04478565776
445	0.04472853265
446	0.04460620687
447	0.04456498907
448	0.04447055524
449	0.04438764828
450	0.04430926186
451	0.04422931479
452	0.04411487802
453	0.04403789561
454	0.04395816601
455	0.04389419048
456	0.04382537245
457	0.04378115772
458	0.0436816431
459	0.04358960977
460	0.04348491444
461	0.04339362567
462	0.04331437814
463	0.04325350015
464	0.04319550005
465	0.04306069966
466	0.04297141734
467	0.04292055789
468	0.04287725157
469	0.04281915978
470	0.04277704057
471	0.04270792827
472	0.04259747513
473	0.04256993834
474	0.04252779188
475	0.0424270107
476	0.0423028955
477	0.0422142804
478	0.04211889354
479	0.04198615023
480	0.04192600443
481	0.04188239281
482	0.04179747184
483	0.04171024494
484	0.04165164015
485	0.04161754488
486	0.04155483125
487	0.04149506475
488	0.04136711498
489	0.04128740802
490	0.04118659419
491	0.04110699945
492	0.04103512709
493	0.04097675861
494	0.04092297243
495	0.04085491839
496	0.04080824199
497	0.04071330046
498	0.04067516654
499	0.0406326614
500	0.04054058021
501	0.04048683587
502	0.04041879755
503	0.04038762836
504	0.04030662083
505	0.04025785495
506	0.04018691005
507	0.04010629366
508	0.04007013473
509	0.0399741767
510	0.03993913152
511	0.03985871904
512	0.03980292006
513	0.03976779602
514	0.03972313687
515	0.03967799396
516	0.03960063129
517	0.03954796821
518	0.03942375604
519	0.03936313795
520	0.03930827932
521	0.03924894786
522	0.03920317438
523	0.03916153687
524	0.03906517599
525	0.0389625297
526	0.03889882227
527	0.03880733827
528	0.0387562159
529	0.03871920605
530	0.03867990076
531	0.03864841699
532	0.03858925623
533	0.03853267816
534	0.03847782158
535	0.03838041391
536	0.03832039404
537	0.03828184821
538	0.03821837134
539	0.03817960906
540	0.03809565544
541	0.03801614727
542	0.03793695403
543	0.03788994893
544	0.03779933024
545	0.03773679957
546	0.03767854094
547	0.03761396905
548	0.03755076361
549	0.03749618842
550	0.03743149912
551	0.03735027278
552	0.03728609994
553	0.03722628362
554	0.03718972827
555	0.03715449551
556	0.03710396614
557	0.03707592886
558	0.03703526124
559	0.03695750805
560	0.03693220752
561	0.03690749143
562	0.03686469632
563	0.03681200231
564	0.03676598249
565	0.03673916511
566	0.03671320774
567	0.03668370888
568	0.03662331161
569	0.03658245883
570	0.03649999272
571	0.03644513287
572	0.03638019323
573	0.03632978464
574	0.03621465044
575	0.03615485991
576	0.03611697507
577	0.03606908878
578	0.03601136333
579	0.03597406799
580	0.0358799832
581	0.03577552319
582	0.03573461315
583	0.03568608825
584	0.03562973108
585	0.03559220235
586	0.03553643236
587	0.03547299027
588	0.03545875933
589	0.0354160954
590	0.03535686204
591	0.03531533055
592	0.03525509214
593	0.03522814669
594	0.03518539442
595	0.03515532428
596	0.03512924331
597	0.0350696206
598	0.03504424596
599	0.03501301236
600	0.03495776777
601	0.03492424109
602	0.03487059871
603	0.03481758009
604	0.03479241394
605	0.03470033053
606	0.03465439215
607	0.03462753084
608	0.03460350075
609	0.03457374002
610	0.03450932705
611	0.0344794883
612	0.03443185556
613	0.03438368908
614	0.03435842935
615	0.03433568029
616	0.03431312548
617	0.03426772495
618	0.03424622736
619	0.03422452833
620	0.03419947154
621	0.03417868538
622	0.03412605936
623	0.03405010958
624	0.03400484786
625	0.0339917675
626	0.03392796752
627	0.0338937595
628	0.03388135275
629	0.03384230034
630	0.03382449495
631	0.03380298724
632	0.03378212834
633	0.03374817205
634	0.03371330913
635	0.03368548061
636	0.03364866139
637	0.0336077714
638	0.03355651393
639	0.03353594342
640	0.03345730845
641	0.03343424
642	0.0333716285
643	0.03331115996
644	0.0332328288
645	0.03318164187
646	0.03314525028
647	0.03311740619
648	0.03309809512
649	0.03304794543
650	0.03302532593
651	0.03301251954
652	0.03294157589
653	0.03291279313
654	0.03284608611
655	0.03280564996
656	0.03277855811
657	0.03273845941
658	0.032684925
659	0.03265129633
660	0.03260797593
661	0.03255713826
662	0.03252304426
663	0.03249595259
664	0.03245044858
665	0.03242768488
666	0.0323764953
667	0.03227962148
668	0.0322582432
669	0.03222925409
670	0.03219384467
671	0.03216628134
672	0.03213005771
673	0.0320990244
674	0.03205509719
675	0.03200581744
676	0.03191421383
677	0.03186766229
678	0.03183829108
679	0.03181293174
680	0.03178232147
681	0.03172836855
682	0.03167995077
683	0.03164576521
684	0.03159239838
685	0.03151180792
686	0.03148726052
687	0.03145659286
688	0.03143661444
689	0.03140370135
690	0.03134680836
691	0.03130890857
692	0.03128724121
693	0.03124255693
694	0.03118892117
695	0.03114908122
696	0.03110938925
697	0.03105761124
698	0.03101112459
699	0.0309872036
700	0.03092674055
701	0.030904349
702	0.03088197847
703	0.03084880441
704	0.03080103265
705	0.03077349764
706	0.03074937822
707	0.03070404665
708	0.03068244731
709	0.03065452536
710	0.03062785587
711	0.03060578602
712	0.03059398341
713	0.03056686997
714	0.03050978892
715	0.03043492872
716	0.03037942302
717	0.03036243632
718	0.03031670892
719	0.03028912284
720	0.03025463201
721	0.03022908333
722	0.0301995846
723	0.03017882806
724	0.03012708435
725	0.03010778282
726	0.03009171068
727	0.03007547598
728	0.03004682269
729	0.0300054018
730	0.02998100611
731	0.02993720217
732	0.02989143414
733	0.02985668396
734	0.02980938223
735	0.02975398104
736	0.02971720951
737	0.02969190469
738	0.02967590683
739	0.02962367638
740	0.0296030015
741	0.02958748579
742	0.02951854709
743	0.0294955231
744	0.02946493906
745	0.02943786496
746	0.02941499386
747	0.02940030442
748	0.02936042113
749	0.02932738782
750	0.0293053665
751	0.02929067496
752	0.02926101588
753	0.02923776869
754	0.02919466396
755	0.02916478496
756	0.02910042314
757	0.02906385789
758	0.02904599323
759	0.02902604497
760	0.02899632209
761	0.02895399736
762	0.02892827973
763	0.0288874698
764	0.02887051731
765	0.02883637611
766	0.02879083182
767	0.02877598979
768	0.02873570659
769	0.02872204579
770	0.02870516823
771	0.02868440522
772	0.02865279065
773	0.02863904072
774	0.02857877223
775	0.02854933945
776	0.02852375477
777	0.02848977561
778	0.0284611846
779	0.02843420202
780	0.02837226989
781	0.02834773949
782	0.02829931369
783	0.02827586691
784	0.02824855728
785	0.02821072756
786	0.02815966217
787	0.02813737238
788	0.02811753195
789	0.02809451056
790	0.02805470244
791	0.0280370061
792	0.02801608995
793	0.02798968353
794	0.02796970023
795	0.02795372565
796	0.02791630922
797	0.02787737684
798	0.02786371681
799	0.0278475385
800	0.02783426144
801	0.02780881264
802	0.02777150441
803	0.02775539047
804	0.02772443308
805	0.02769625092
806	0.02768353113
807	0.02764032307
808	0.02761207529
809	0.02758914751
810	0.02757068997
811	0.02753133872
812	0.02751394187
813	0.02748139033
814	0.02745070198
815	0.02742340885
816	0.0273916203
817	0.02737678892
818	0.02735369009
819	0.02730435803
820	0.02726227648
821	0.0272475777
822	0.02723340643
823	0.02719047235
824	0.02717592716
825	0.02714671342
826	0.02710484809
827	0.02708735189
828	0.02706837214
829	0.02704316433
830	0.02702314269
831	0.02699781306
832	0.02698465962
833	0.02697200226
834	0.0269433914
835	0.02688857093
836	0.02687504146
837	0.02682984644
838	0.02679465778
839	0.02676830895
840	0.0267463737
841	0.02673332624
842	0.02670270632
843	0.02668179353
844	0.02664630534
845	0.02662421941
846	0.02658248662
847	0.0265668367
848	0.02655093221
849	0.02650077235
850	0.02644367797
851	0.0264129348
852	0.02636835851
853	0.02632148055
854	0.02629540448
855	0.02627896864
856	0.0262655432
857	0.02622134485
858	0.02618124374
859	0.02616171057
860	0.02614857465
861	0.02613422265
862	0.0261013181
863	0.02606854363
864	0.02605264554
865	0.02603027762
866	0.02601806632
867	0.02600644549
868	0.02596164124
869	0.02593001567
870	0.02591432503
871	0.02589440832
872	0.02588165173
873	0.02586631814
874	0.02583289424
875	0.02581594231
876	0.02578626436
877	0.0257323927
878	0.02570365235
879	0.02568354546
880	0.02567206647
881	0.02565665376
882	0.02563816364
883	0.02560522262
884	0.02558637712
885	0.02554195045
