iter	RMSE
0	0.1417630467
1	0.1353227331
2	0.1298376687
3	0.1251489942
4	0.1209603778
5	0.1174420715
6	0.1144741879
7	0.1117594934
8	0.1094343488
9	0.1073663191
10	0.1054651453
11	0.1036326942
12	0.1017316692
13	0.1000180362
14	0.09859149946
15	0.09716727403
16	0.09579633819
17	0.09458761958
18	0.0930264106
19	0.09182630817
20	0.09070224621
21	0.08958546769
22	0.0885591063
23	0.0876147306
24	0.0862838364
25	0.08531575089
26	0.08419948392
27	0.08325748169
28	0.08227219503
29	0.08146798795
30	0.08057919284
31	0.07984550065
32	0.07903377419
33	0.07816368574
34	0.07738242119
35	0.07661037695
36	0.07592611992
37	0.0754375065
38	0.07469162205
39	0.07357210508
40	0.07289414775
41	0.07221386022
42	0.07172894775
43	0.0710437121
44	0.07023300209
45	0.06947381976
46	0.06893813826
47	0.06836411631
48	0.06783396671
49	0.06732321602
50	0.0666892016
51	0.06596884068
52	0.06546405713
53	0.0646737864
54	0.0644375939
55	0.06395573264
56	0.06341870228
57	0.06259960123
58	0.062240832
59	0.06173700598
60	0.0610499724
61	0.06078300887
62	0.06040543279
63	0.05997851213
64	0.05960947183
65	0.05914470997
66	0.05891573414
67	0.05858309039
68	0.05815260685
69	0.05796252665
70	0.05769744717
71	0.05742347705
72	0.05699945001
73	0.05663626761
74	0.05613843653
75	0.05575530956
76	0.05528894234
77	0.05476722617
78	0.05463191854
79	0.05441486901
80	0.05428330359
81	0.05398120645
82	0.05372049271
83	0.05352357812
84	0.05329974065
85	0.05288476199
86	0.05269922078
87	0.05249638345
88	0.05207808514
89	0.05193364406
90	0.0517115716
91	0.05148715194
92	0.05135977365
93	0.05111698523
94	0.05081023482
95	0.05068168057
96	0.05052262125
97	0.05030784831
98	0.05020134703
99	0.04968773719
100	0.0495669317
101	0.04944877199
102	0.04922686626
103	0.04906574986
104	0.04890324695
105	0.048786995
106	0.04853976952
107	0.04819564223
108	0.04803594286
109	0.04795055838
110	0.04781978389
111	0.04738888586
112	0.04726278593
113	0.04714872573
114	0.0469844574
115	0.0468945442
116	0.04677902191
117	0.04667473165
118	0.04660925206
119	0.04640499809
120	0.04609746274
121	0.04592632373
122	0.04580872038
123	0.04563903668
124	0.04550623203
125	0.04538703214
126	0.04530074192
127	0.04500339506
128	0.044760367
129	0.0446903178
130	0.04438881939
131	0.04430558929
132	0.04420181305
133	0.04408973086
134	0.04391541343
135	0.0438178505
136	0.04373636582
137	0.04357587852
138	0.04347562333
139	0.04315509736
140	0.04306084245
141	0.0430049054
142	0.04293503306
143	0.04282857871
144	0.04271173837
145	0.04265282117
146	0.04255675609
147	0.04244527974
148	0.04229385583
149	0.0421485597
150	0.04194876069
151	0.04185689636
152	0.04177757635
153	0.04165927614
154	0.04157138389
155	0.04148220383
156	0.04125096558
157	0.04112911666
158	0.04098528418
159	0.04068395887
160	0.04062465199
161	0.04049942424
162	0.04042681853
163	0.04034528967
164	0.04031030606
165	0.04004960047
166	0.04000025196
167	0.03992159662
168	0.03986379973
169	0.03980957765
170	0.03971218865
171	0.03953674661
172	0.03947583729
173	0.03941220638
174	0.03935562701
175	0.03929535601
176	0.03924852757
177	0.03917878491
178	0.03903697429
179	0.03895525191
180	0.03891549771
181	0.03885562312
182	0.0387807591
183	0.03872904554
184	0.03864163966
185	0.0386019826
186	0.03840242897
187	0.03829474375
188	0.03824008636
189	0.03819793581
190	0.03812443289
191	0.03791890917
192	0.03775025616
193	0.03764558294
194	0.03760043487
195	0.03748834049
196	0.03741859196
197	0.03735074207
198	0.03722706655
199	0.03714386874
200	0.03702885426
201	0.03697563836
202	0.03689823982
