Complexity|MSE|Equation
1|0.0028594083|x4
3|0.0019447312|(x2 * -1.5709802)
5|0.00043077886|(x1 * (0.1105973 - x0))
7|0.00028572968|((x1 * (0.1105973 - x0)) - x2)
9|0.00024054198|((x1 * ((x3 - x1) - x0)) - x2)
11|0.00022394526|((x1 * (((x3 * x0) - x1) - x0)) - x2)
13|0.00017779802|(((x1 - (x4 - x3)) * ((x4 - x1) - x0)) - x2)
15|0.00017282843|(((x1 - ((x4 * 0.5488605) - x3)) * ((x3 - x1) - x0)) - x2)
17|0.00016472436|(((x1 - (((x4 - x3) * 0.43561998) - x3)) * ((0.005396383 - x1) - x0)) - x2)
19|0.00016242669|(((x1 - (((x4 - x3) * 0.4353089) - x3)) * (((x0 * 0.031610653) - x1) - x0)) - x2)
