Complexity|MSE|Equation
1|0.001818063|x2
3|7.3773936e-6|(-0.11010416 * x1)
5|2.3200864e-6|(-0.23229337 * (0.67222434 * x1))
11|1.07286866e-7|(((x2 * -0.51364434) - (x1 * x0)) - (x2 * -0.34677216))
