Complexity|MSE|Equation
1|0.024309797|-1.0581665
5|0.02411401|(-1.0340247 + (-0.0048265066 * x0))
8|0.006857293|(-1.0408653 + (-0.18193363 * cos(0.69806033 * x0)))
11|0.0012027726|(-1.2054452 * cos(-0.27392468 + (0.61833215 * cos(0.6703404 * x0))))
15|0.0011759775|((-0.0018876253 * x0) + (-1.196531 * cos(0.27214706 + (-0.6235876 * cos(0.66862744 * x0)))))
16|0.00093331025|((0.035060517 * cos(x0)) + (-1.2027149 * cos(0.2741959 + (-0.626562 * cos(0.69212514 * x0)))))
