Complexity|MSE|Equation
1|0.024399582|-1.0574856
5|0.024214037|(-1.0339848 + (-0.004699574 * x0))
6|0.0037551802|(-1.0181545 + (-0.21593435 * sin(x0)))
8|0.002295731|(-1.011618 + (-0.22222775 * sin(0.957943 * x0)))
10|0.0018130775|(-1.0104461 + (0.22010875 * cos(-4.4305577 + (0.915848 * x0))))
11|0.00172986|(-1.7467091 + (0.9622912 * cos(cos(-6.921712 + (0.4575804 * x0)))))
15|0.0011588518|((sin(cos((x0 + -4.511675) + ((x0 * x0) * -0.010267631))) * 0.2515749) + -1.0081798)
