Complexity|MSE|Equation
1|0.024202982|-1.0548803
5|0.024142068|(-1.0414143 + (-0.0026919472 * x0))
6|0.002727265|(-1.0147734 + (-0.2202415 * sin(x0)))
8|0.0016892646|(-1.0091552 + (-0.22477338 * sin(0.96490824 * x0)))
10|0.0015320495|(-1.0081918 + (-0.22329181 * sin(0.15368977 + (0.9419107 * x0))))
15|0.0010782355|(-1.0081656 + (-0.32886824 * (sin(0.95416546 * x0) * sin(cos(cos(-1.123338 * x0))))))
17|0.0009446927|(-1.0258989 + (-0.32880175 * (sin(0.2526325 + (0.92973614 * x0)) * sin(cos(cos(0.41516525 * x0))))))
