Complexity|MSE|Equation
1|0.024051646|-1.0583714
5|0.023847079|(-1.0336956 + (-0.0049351854 * x0))
6|0.004216782|(-1.0198245 + (-0.2116583 * sin(x0)))
8|0.0039917575|((sin(x0 + -0.19103964) * -0.2143057) + -1.0040364)
9|0.003737139|(-1.0174847 + (-0.24472219 * sin(sin(-0.15327407 + x0))))
10|0.0019838244|(-1.0118595 + (-0.21658123 * sin(0.3177617 + (0.9070392 * x0))))
11|0.0019745938|(-1.0112226 + (-0.24646017 * sin(sin(0.30760142 + (0.90877956 * x0)))))
14|0.0019270509|(-0.91114044 + (-0.33305246 * sin(sin(0.09594316 + ((0.08332382 * x0) + sin(x0))))))
15|0.0017324978|(-1.0149832 + (-0.21871875 * sin(0.35960704 + ((-0.20668249 * sin(x0)) + (0.9020141 * x0)))))
16|0.0016911462|(sin(sin(sin(x0 + ((x0 + (x0 * x0)) * -0.006568481))) * -0.25190237) + -1.0103133)
