Complexity|MSE|Equation
1|0.48995495|-1.4981421
4|0.2741101|(cos(x0) + -1.3023497)
6|0.001816725|(-1.5014627 + cos(1.2608153 * x0))
8|0.0016832736|(-1.5016649 + cos(-0.01651464 + (1.2610594 * x0)))
11|0.001553775|(1.4939567 + (-4.0046835 * cos(1.0390395 * cos(-0.6299525 * x0))))
